Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Upload file,Chrome 113.0.0.0,,,2023-05-30 16:56:29,2023-05-30 16:56:58,28.584s,PASSED
,,,,,,,
Test Cases/TC002-Upload File Using Data Driven Testing,Chrome 113.0.0.0,,,2023-05-30 16:56:29,2023-05-30 16:56:40,10.204s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-30 16:56:30,2023-05-30 16:56:32,2.329s,PASSED
"navigateToUrl(""http://the-internet.herokuapp.com/upload"")",Chrome 113.0.0.0,,,2023-05-30 16:56:32,2023-05-30 16:56:36,3.693s,PASSED
"uploadFile(findTestObject(""The Internet/Page_The Internet/upload-file""), file)",Chrome 113.0.0.0,,,2023-05-30 16:56:36,2023-05-30 16:56:36,0.611s,PASSED
"click(findTestObject(""Object Repository/The Internet/Page_The Internet/btn-submit""))",Chrome 113.0.0.0,,,2023-05-30 16:56:36,2023-05-30 16:56:39,2.160s,PASSED
"click(findTestObject(""Object Repository/The Internet/Page_The Internet/div_Quality Assurance 7.png""))",Chrome 113.0.0.0,,,2023-05-30 16:56:39,2023-05-30 16:56:39,0.538s,PASSED
"verifyTextPresent(""File Uploaded!"", false)",Chrome 113.0.0.0,,,2023-05-30 16:56:39,2023-05-30 16:56:40,0.484s,PASSED
,,,,,,,
Test Cases/TC002-Upload File Using Data Driven Testing,Chrome 113.0.0.0,,,2023-05-30 16:56:40,2023-05-30 16:56:50,10.151s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-30 16:56:40,2023-05-30 16:56:42,2.071s,PASSED
"navigateToUrl(""http://the-internet.herokuapp.com/upload"")",Chrome 113.0.0.0,,,2023-05-30 16:56:42,2023-05-30 16:56:46,3.858s,PASSED
"uploadFile(findTestObject(""The Internet/Page_The Internet/upload-file""), file)",Chrome 113.0.0.0,,,2023-05-30 16:56:46,2023-05-30 16:56:46,0.511s,PASSED
"click(findTestObject(""Object Repository/The Internet/Page_The Internet/btn-submit""))",Chrome 113.0.0.0,,,2023-05-30 16:56:46,2023-05-30 16:56:48,2.345s,PASSED
"click(findTestObject(""Object Repository/The Internet/Page_The Internet/div_Quality Assurance 7.png""))",Chrome 113.0.0.0,,,2023-05-30 16:56:48,2023-05-30 16:56:49,0.442s,PASSED
"verifyTextPresent(""File Uploaded!"", false)",Chrome 113.0.0.0,,,2023-05-30 16:56:49,2023-05-30 16:56:50,0.901s,PASSED
,,,,,,,
Test Cases/TC002-Upload File Using Data Driven Testing,Chrome 113.0.0.0,,,2023-05-30 16:56:50,2023-05-30 16:56:58,7.774s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-30 16:56:50,2023-05-30 16:56:52,1.841s,PASSED
"navigateToUrl(""http://the-internet.herokuapp.com/upload"")",Chrome 113.0.0.0,,,2023-05-30 16:56:52,2023-05-30 16:56:55,2.888s,PASSED
"uploadFile(findTestObject(""The Internet/Page_The Internet/upload-file""), file)",Chrome 113.0.0.0,,,2023-05-30 16:56:55,2023-05-30 16:56:55,0.543s,PASSED
"click(findTestObject(""Object Repository/The Internet/Page_The Internet/btn-submit""))",Chrome 113.0.0.0,,,2023-05-30 16:56:55,2023-05-30 16:56:57,1.718s,PASSED
"click(findTestObject(""Object Repository/The Internet/Page_The Internet/div_Quality Assurance 7.png""))",Chrome 113.0.0.0,,,2023-05-30 16:56:57,2023-05-30 16:56:57,0.422s,PASSED
"verifyTextPresent(""File Uploaded!"", false)",Chrome 113.0.0.0,,,2023-05-30 16:56:57,2023-05-30 16:56:58,0.349s,PASSED
